Poultry inventory,"Broilers, roasters and Cornish 5",,,,Turkeys 6,,,,Other poultry,,,
Unit of measure,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,,Number of farms reporting,,Number of birds,
"Bulkley-Nechako D, British Columbia [CCS590751017]",4,5,172,193,1,2,x,x,2,1,x,x
"Bulkley-Nechako F, British Columbia [CCS590751019]",9,22,939,"1,272",6,8,71,78,6,19,93,127
"Bulkley-Nechako B, British Columbia [CCS590751028]",5,4,234,580,3,2,85,x,1,1,x,x
"Bulkley-Nechako E, British Columbia [CCS590751031]",8,5,x,957,5,6,x,60,4,7,47,95
"Bulkley-Nechako A, British Columbia [CCS590751051]",15,18,"1,564",903,7,8,217,112,7,15,101,133
"Bulkley-Nechako G, British Columbia [CCS590751053]",1,2,x,x,1,1,x,x,0,3,0,10
"Stikine Region, British Columbia [CCS590757022]",..,0,..,0,..,0,..,0,..,0,..,0
"Peace River D, British Columbia [CCS590855021]",13,10,"30,850",x,11,11,x,"3,216",15,25,"1,500","2,616"
"Peace River E, British Columbia [CCS590855023]",3,7,69,213,2,2,x,x,3,3,x,23
"Peace River B, British Columbia [CCS590855040]",26,36,"2,130","2,607",12,18,99,350,12,22,115,356
"Peace River C, British Columbia [CCS590855042]",6,1,660,x,2,4,x,x,2,4,x,188
"Northern Rockies, British Columbia [CCS590859007]",0,2,0,x,2,0,x,0,0,0,0,0
,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,
.., not available for a specific reference period,,,,,,,,,,,
x, suppressed to meet the confidentiality requirements of the Statistics Act,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,
1,"The nine-digit geographic code at the end of the geographic names comprises two digits for the province, two for the census agricultural region, two for the census division and three for the census consolidated subdivision. Reference maps provide the geographic boundaries, codes and names for all geographic areas appearing in the data tables. <a href=http://www.statcan.gc.ca/pub/95-630-x/95-630-x2017000-eng.htm"">2016 Reference maps</a> or <a href=""http://www.statcan.gc.ca/ca-ra2011/110006-eng.htm"">2011 Reference maps</a>.""",,,,,,,,,,,
